imdb_votes,tmdb_popularity
1383,4.432
39,16.249
269,2.748
133,78.564
633,7.305
170,3.074
589,2.809
74,1.174
2622,20.711
1524,16.105
7686,4.453
90327,124.52
155,12.51
1087,1.817
72916,10.688
297,5.246
5333,2.882
14911,45.532
4689,5.393
127,2.194
12,0.893
1535,4.419
1720,2.801
1772,2.156
286,1.4
6816,7.142
1936,5.081
941,4.556
14977,8.408
1428,3.677
1359,10.138
702,6.925
11693,18.065
5913,11.074
1414,5.892
1627,8.263
4544,11.557
49090,13.399
1503,4.043
718,1.958
10528,4.791
1046,12.797
3663,23.344
2416,2.638
52925,12.217
4571,9.292
958,6.216
1615,5.868
10,3.701
1299,10.181
525,2.208
2374,3.914
1991,52.364
32,0.709
5571,3.639
1543,4.316
1246,16.42
41052,9.202
98,4.49
50140,60.49
128179,20.292
7904,14.594
950,7.169
24063,16.264
2607,9.299
218,2.87
215678,55.362
2281,6.12
226225,54.58
100637,41.511
5514,31.739
816,4.798
143670,26.022
583,2.274
952,4.071
163858,385.985
60,0.84
3696,10.838
2624,3.628
39,1.4
522,6.492
11,0.605
38850,20.42
62367,36.627
5109,22.785
2217,4.601
13469,9.863
385,2.029
2638,12.576
211,2.358
716,3.236
990,3.746
465,1.542
7021,32.746
17304,15.543
99053,25.719
2287,8.424
6948,5.927
12363,26.158
4049,33.096
1087,2.275
33714,6.452
252564,48.311
8517,12.41
966,61.214
38,1.046
2256,7.895
367,2.731
300074,26.205
8235,83.181
252,9.258
3984,534.857
27439,12.764
337,1.397
43,4.669
340,3.838
1055,4.166
32547,10.384
87673,10.863
13135,6.0
2223,8.891
265023,96.975
12284,111.295
1654,4.549
1642,4.827
903,15.712
3301,9.488
169,0.777
21,0.919
474,2.382
4598,13.765
35427,19.747
24845,10.13
293,2.967
3260,15.734
1492,218.835
995,3.054
18546,6.846
5435,29.312
438,2.768
828,3.591
15,4.694
19738,37.838
507878,30.363
4985,5.479
577,14.162
23,0.84
52233,13.284
24468,13.772
1826,25.533
699,1.4
850,17.886
803,11.594
3355,6.297
16799,27.734
934,2.376
189191,401.416
5108,5.923
17992,15.499
143899,23.276
7264,12.886
845,4.083
23327,11.071
634,4.038
19275,22.951
21382,7.89
36,2.605
4715,8.738
20,19.717
663,10.833
29446,39.313
2521,16.92
30030,10.726
217,5.13
479,0.718
249,2.807
606,2.164
37,1.869
1193,20.123
101178,120.753
302147,104.037
1020,7.645
17429,38.415
55,2.918
50236,10.461
904,3.607
3708,4.722
5635,8.898
1853,5.64
1058,12.061
15,1.901
39,0.947
3490,3.444
8111,10.571
1483,5.384
339,4.549
4236,18.282
1590,6.673
1672,28.324
585,288.515
180247,14.572
3514,7.748
16731,10.872
3387,3.355
71,4.446
98,1.124
91,2.306
5098,24.114
354443,152.46
138,1.97
7135,180.627
586,3.696
41867,26.367
262998,53.366
75139,25.799
7158,11.337
590,1.044
193208,22.688
129,3.689
2284,16.528
16978,20.229
13140,8.133
1204,6.125
1766,69.452
900,2.385
2753,2.962
25687,12.023
24903,9.182
71,2.141
31180,14.834
196,2.744
20005,7.275
1647,4.239
552,4.511
687,82.021
712,43.241
11841,26.557
19398,20.154
110,1.469
427,3.191
19684,9.747
73110,26.891
1303,8.174
8762,16.444
462,14.943
659,5.143
6143,9.199
1195,8.844
355,4.472
388,1.126
24863,20.722
240,1.75
83519,43.924
49599,11.687
629,2.757
6041,42.246
38301,12.812
14315,10.912
4230,19.304
27797,13.817
6379,3.979
3524,2.177
7179,3.05
1380,89.327
374,1.586
1096,3.101
157,2.673
3205,18.683
1887,8.911
29578,5.908
18732,6.231
7683,3.091
4315,4.801
2554,4.645
11138,8.685
2163,4.491
1697,4.156
88265,131.109
14882,6.835
107701,55.531
863,11.511
82,1.4
60779,24.079
883,3.044
1049,3.184
11,1.4
31976,9.748
1031,3.147
1786,7.887
3637,10.75648
28718,27.308
88019,51.752
1201,5.067
183638,19.718
10030,8.691
4885,10.917
28933,11.066
2825,3.928
496,6.035
30389,5.614
18575,68.38
1262,15.424
39620,84.164
2603,4.743
3893,2.514
2237,2.129
247,0.6
320,1.22
812,1.782
2521,17.443
138,16.282
1189,5.947
6390,7.373
40289,8.795
67,1.074
1622,2.116
5273,2.38
71167,9.318
17149,7.728
28409,6.381
3294,3.248
1047,3.351
71,4.788
720,30.681
458,18.042
94,9.489
153463,14.745
20817,14.581
717,5.4
9099,18.126
5301,12.967
1449,3.042
117,1.606
58639,74.537
9980,11.209
973,6.135
789,10.559
3598,3.301
9739,9.524
1472668,56.588
1465,5.007
5551,1.813
203,1.4
14590,3.183
54,1.879
6445,18.553
1269,2.44
560,16.0
12453,11.188
597,43.263
188,8.391
59836,13.072
592,2.16
7522,2.643
2675,5.099
2107,9.184
226,3.813
1467,5.667
36836,7.261
52338,7.283
50250,20.798
1756,6.187
1611,22.506
498447,115.376
3511,5.327
202,2.003
300073,14.769
1863,2.045
9200,27.95
1643,17.665
195,1.137
7813,27.217
25,3.46
1262,13.931
34127,12.697
4064,11.922
1974,3.371
6446,17.015
9428,31.888
197744,57.029
45971,27.166
494,26.334
2780,12.777
1522,15.265
6161,58.201
304,20.749
153,7.507
175,13.962
1078,3.903
1938,4.566
149,7.139
330,6.803
19,0.651
13034,10.751
96,3.42
569,8.863
79075,7.871
7559,22.317
116,1.651
1305,11.678
554,6.727
114,3.342
965,12.759
3909,16.727
3686,17.258
6873,10.632
339626,31.661
33206,11.126
241,1.476
619645,33.05
7557,6.309
248,2.741
336,2.891
21136,62.172
2079,169.642
14,7.568
873,3.108
604,1.452
42699,21.821
185430,14.168
14154,10.937
2723,12.763
13569,32.563
307,2.334
19646,9.727
1158,2.802
1111,10.658
270,6.957
3124,14.161
206,0.6
632,10.357
20,1.4
130,2.754
2817,2.241
1532,2.193
2297,6.97
5482,9.304
603,2.496
70,0.892
4288,4.303
6754,3.478
8519,7.955
216847,35.145
17992,121.756
303,103.284
437,1.623
1853,49.839
73,0.6
208,93.411
1867,7.162
723,3.91
755,7.665
642,5.895
3799,140.468
1823,4.112
73,1.767
98,1.96
95,1.17
34477,20.919
4593,13.29
73062,531.821
2609,68.14
2254,25.284
1851,25.481
1903,30.602
671,90.94
655,63.767
